child	organ	has_uberon
bto:0000007	bto:0000671	*
bto:0000131	bto:0000089	*
bto:0000132	bto:0000089	*
bto:0000142	bto:0000142	*
bto:0000164	bto:0000142	*
bto:0000232	bto:0000142	*
bto:0000457	bto:0000975	*
bto:0000552 bto:0001253	*
bto:0000567 bto:0001424	*
bto:0000599 bto:0000759	*
bto:0000664	bto:0000089	*
bto:0000759	bto:0000759	*
bto:0000862	bto:0000562	*
bto:0000887	bto:0000887	UBERON:0002385
bto:0000903 bto:0000903	*
bto:0000988 bto:0000988	*
bto:0001129	bto:0001129	*
bto:0001489	bto:0000042 *
bto:0001553	bto:0000058 *
bto:0001619	bto:0001253	*
bto:0001949	bto:0001509 *
bto:0001976	bto:0000497	*
bto:0003034	bto:0000763	*